id_produto,nome_produto,categoria,descricao,preco,ativo
1,At Ultra,Informática,Corrupti ea dolore neque.,5458.41,True
2,Magni Plus,Móveis,A ex eius debitis odio.,2385.09,True
3,Ducimus Max,Informática,Reiciendis ipsa ratione ipsa consequatur hic.,1632.5,True
4,Ipsum Ultra,Eletrodomésticos,Quae voluptatum nihil reiciendis.,1271.94,True
5,Deleniti Plus,Eletrodomésticos,Facere libero eos corrupti.,7952.07,False
6,Distinctio Max,Eletrodomésticos,Rerum impedit nulla deleniti delectus fuga.,3971.53,True
7,Minus Pro,Móveis,Expedita excepturi voluptas inventore sequi exercitationem iure.,4651.27,False
8,Officiis Lite,Eletrodomésticos,Consequatur quaerat ea blanditiis labore in molestias cumque.,6008.6,True
9,Molestias Lite,Telefonia,Ea doloremque fugiat.,6513.75,True
10,Incidunt Max,Telefonia,Expedita deleniti occaecati modi necessitatibus dolorem.,7563.09,True
11,Aut Lite,Informática,Alias ipsa nulla molestiae.,1779.66,True
12,Reprehenderit Lite,Telefonia,Recusandae fuga animi quia ullam.,4547.24,True
13,Vitae Max,Móveis,Suscipit ipsam expedita.,4194.19,False
14,Et Max,Telefonia,Dolore hic enim debitis rem aliquid asperiores.,6442.85,True
15,Perspiciatis Plus,Móveis,Excepturi culpa provident perspiciatis.,2116.47,False
16,Dolorum Plus,Telefonia,Deserunt architecto omnis officia excepturi aperiam saepe.,4229.57,True
17,Corrupti Plus,Telefonia,Mollitia at nostrum sequi ducimus nisi quae.,5744.42,True
18,Animi Ultra,Móveis,Repudiandae magni fugiat illum ex fuga occaecati.,7915.71,True
19,Quasi Max,Telefonia,Inventore veniam est minima dicta quaerat mollitia.,2030.43,True
20,Nostrum Plus,Eletrodomésticos,Nulla iusto eaque iure velit asperiores.,552.26,True
21,Molestias Max,Telefonia,Architecto hic mollitia soluta.,1722.18,True
22,Ipsa Plus,Informática,Modi consectetur iste.,5745.02,True
23,Tempore Ultra,Móveis,Qui nemo consequuntur distinctio harum.,7893.32,True
24,Facilis Plus,Informática,Totam corrupti quibusdam nihil nobis laborum.,6737.09,True
25,Vel Max,Telefonia,Voluptas ducimus suscipit tempore alias laboriosam provident.,6697.46,True
26,Beatae Lite,Móveis,Dolorem doloremque molestias a quia nemo ipsam.,5613.17,False
27,Quia Pro,Eletrodomésticos,Necessitatibus sed assumenda officia accusantium quis.,3743.43,True
28,Qui Pro,Acessórios,Laudantium odit repellat aspernatur vel.,6428.0,True
29,Deleniti Ultra,Móveis,Sint corrupti iusto velit.,6414.58,True
30,Libero Pro,Acessórios,Odit commodi explicabo ullam unde expedita.,3653.33,True
31,Repellendus Pro,Telefonia,Neque non nisi deserunt quia.,7064.51,False
32,Expedita Pro,Eletrodomésticos,Asperiores necessitatibus odio repellat esse.,7928.66,True
33,Odio Max,Informática,Laboriosam dolore esse consequatur.,5771.45,True
34,Quia Plus,Acessórios,Inventore sed libero quibusdam a sed temporibus eum.,6615.09,True
35,Hic Pro,Móveis,Hic quaerat cum qui dolore.,21.65,True
36,Saepe Plus,Informática,Sit molestias dignissimos doloremque corporis hic.,1152.03,True
37,Assumenda Max,Móveis,Aspernatur perferendis asperiores eius.,7062.33,True
38,Fuga Lite,Eletrodomésticos,Aut inventore fugit repellat quod.,6232.85,True
39,Minus Ultra,Informática,Architecto hic perferendis molestias ea fugit.,5398.29,True
40,Distinctio Plus,Eletrodomésticos,Quibusdam temporibus vitae tempora voluptates.,198.18,False
41,Quidem Ultra,Telefonia,Hic repudiandae repudiandae cumque cupiditate sint.,3148.73,True
42,Est Ultra,Móveis,Autem est doloremque iusto.,4214.82,True
43,Cumque Max,Acessórios,Pariatur quod delectus occaecati fugit.,3876.7,True
44,Atque Plus,Eletrodomésticos,Vitae eum dolor aut velit ipsam optio.,37.54,True
45,Dolor Ultra,Acessórios,Tempora placeat occaecati omnis nisi nihil deleniti.,6075.0,True
46,Magni Pro,Móveis,Impedit consequatur adipisci error ullam reprehenderit.,438.2,False
47,Aperiam Max,Eletrodomésticos,Itaque hic aut iste.,2635.98,True
48,Nesciunt Pro,Informática,Deserunt excepturi dolor laudantium cumque.,1320.0,True
49,Expedita Pro,Móveis,Ab animi corrupti amet nam.,6052.79,True
50,Eaque Pro,Telefonia,Doloribus quam accusantium provident magni est molestiae.,4804.44,True
51,Aperiam Pro,Eletrodomésticos,Fugiat error culpa eos consequuntur ipsum.,6548.52,True
52,Quod Plus,Acessórios,Natus incidunt impedit blanditiis id quam.,1847.55,True
53,Cumque Max,Acessórios,Corporis reiciendis eius dolorem.,7178.61,True
54,Explicabo Max,Acessórios,Aut maiores molestias eos.,518.22,False
55,Quibusdam Plus,Informática,Hic libero excepturi laboriosam laborum cumque nisi illo.,1874.63,True
56,Dolorem Ultra,Eletrodomésticos,Ipsa libero magnam maxime consectetur debitis.,3960.1,True
57,Rem Plus,Eletrodomésticos,Aliquid harum aut maxime.,2354.5,True
58,Ipsam Plus,Acessórios,Dolor optio fugiat molestiae unde.,7660.78,False
59,Recusandae Pro,Informática,Rerum laudantium provident doloremque neque sunt modi.,5859.59,True
60,Maiores Max,Móveis,Voluptatibus laboriosam esse voluptatem quidem.,7054.86,True
61,Libero Lite,Informática,Corrupti atque dolore doloremque dicta asperiores veritatis doloremque.,2558.74,True
62,Fugiat Max,Telefonia,Qui libero commodi praesentium molestiae in.,1225.79,True
63,Nam Plus,Acessórios,Aliquam unde possimus ipsam nulla.,354.05,True
64,Totam Ultra,Informática,Saepe assumenda quibusdam.,2852.48,False
65,Recusandae Lite,Eletrodomésticos,Ipsum suscipit quia illo perspiciatis soluta.,1568.12,True
66,Aperiam Ultra,Telefonia,Perspiciatis in iste natus ipsa earum distinctio.,5395.79,True
67,Earum Ultra,Telefonia,Velit commodi voluptates aliquam rerum maxime aliquam.,2493.91,False
68,Ratione Max,Acessórios,Pariatur possimus doloremque autem.,1739.61,True
69,Numquam Pro,Telefonia,Impedit molestiae fugit iste laudantium nesciunt recusandae.,3686.82,False
70,Maiores Lite,Informática,Eos eaque veritatis doloribus.,194.53,True
71,Aliquid Lite,Acessórios,Dolor optio aliquam repellendus quibusdam a a praesentium.,3903.75,True
72,Expedita Ultra,Eletrodomésticos,Commodi illum non.,6749.08,True
73,At Lite,Móveis,Amet quos dicta.,7575.29,False
74,Labore Pro,Móveis,Tenetur necessitatibus ad debitis sint.,128.85,True
75,Dicta Ultra,Acessórios,Debitis cupiditate vitae.,5102.31,True
76,Libero Pro,Acessórios,Corporis nihil iste ratione odit.,6203.79,True
77,Architecto Ultra,Eletrodomésticos,Quia ipsam doloremque totam soluta.,6237.15,True
78,Magni Max,Telefonia,Quos at eligendi iusto.,4109.14,True
79,Ipsum Plus,Acessórios,Iste dolore tempore repellendus mollitia accusamus officiis.,2263.23,True
80,A Pro,Telefonia,Dolorem eum culpa perferendis.,2718.51,True
81,Voluptate Pro,Informática,Aut corrupti mollitia libero repellat debitis cum exercitationem.,3611.78,False
82,Repellat Ultra,Informática,Consequatur pariatur architecto ad.,7118.16,True
83,Autem Plus,Eletrodomésticos,Velit magni fuga natus eligendi tenetur consequuntur.,3635.23,False
84,Fugit Pro,Informática,Nesciunt iusto velit fuga vero ab quisquam.,7938.21,True
85,Modi Plus,Eletrodomésticos,Praesentium eum sint nemo voluptas.,3266.63,False
86,Ducimus Pro,Eletrodomésticos,Asperiores consectetur dolorum tenetur tenetur.,5446.58,False
87,Ipsum Lite,Móveis,Neque autem blanditiis.,7710.49,True
88,Perspiciatis Max,Acessórios,Numquam magnam maiores.,5192.61,True
89,Quam Lite,Eletrodomésticos,Omnis in dicta.,1387.85,False
90,Quo Max,Informática,Tempore nostrum reiciendis quibusdam accusamus a.,7450.75,True
91,Quis Plus,Telefonia,Unde dolor natus unde quisquam rem.,3057.66,True
92,Exercitationem Lite,Móveis,Corporis magnam quidem suscipit dolor itaque ad.,5927.44,False
